,Cancellation Policy,Neighbourhood_Charlottenburg,Neighbourhood_Friedrichshain,Neighbourhood_Kreuzberg,Neighbourhood_Mitte,Neighbourhood_Moabit,Neighbourhood_Neukölln,Neighbourhood_Pankow,Neighbourhood_Prenzlauer Berg,Neighbourhood_Schöneberg,Neighbourhood_Tempelhof,Neighbourhood_Wedding,Accommodates,Bathrooms,Bedrooms,Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Availability 365,Number of Reviews,Room Type_Private
781,2.0,0,0,0,0,0,1,0,0,0,0,0,3,10.0,2.0,34.0,300.0,50.0,1,0,30,60,0,2,1
785,1.0,0,0,0,0,0,1,0,0,0,0,0,3,10.0,1.0,35.0,200.0,10.0,1,10,1,1125,299,3,1
788,2.0,0,0,0,0,0,0,0,0,1,0,0,3,10.0,1.0,200.0,200.0,40.0,1,0,3,20,162,8,1
790,2.0,0,0,0,0,0,0,0,0,1,0,0,1,10.0,1.0,26.0,100.0,10.0,1,15,1,90,267,2,1
793,0.0,0,0,0,0,0,0,0,0,1,0,0,2,10.0,1.0,35.0,250.0,15.0,1,10,1,30,43,1,1
804,2.0,0,0,0,0,0,1,0,0,0,0,0,6,15.0,1.0,215.0,800.0,80.0,2,25,2,1125,362,21,1
815,2.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,38.0,100.0,10.0,1,0,3,1125,3,1,1
817,2.0,0,0,0,0,0,1,0,0,0,0,0,6,15.0,0.0,235.0,800.0,80.0,2,25,2,15,361,20,1
820,1.0,0,0,0,0,0,1,0,0,0,0,0,4,10.0,2.0,75.0,250.0,37.0,2,13,3,1125,260,119,1
821,1.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,41.0,100.0,25.0,2,0,5,90,5,8,1
822,1.0,0,0,0,0,0,1,0,0,0,0,0,5,20.0,3.0,95.0,450.0,50.0,1,30,7,1125,22,8,1
826,0.0,0,0,0,0,0,1,0,0,0,0,0,4,10.0,1.0,47.0,200.0,25.0,2,15,1,1125,0,4,1
829,1.0,0,0,0,0,0,1,0,0,0,0,0,1,10.0,1.0,28.0,150.0,5.0,1,10,2,21,330,44,1
830,2.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,20.0,100.0,20.0,1,10,1,9,0,48,1
832,0.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,1.0,79.0,200.0,25.0,1,0,3,21,77,14,1
833,0.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,30.0,94.0,10.0,1,5,2,4,1,3,1
838,0.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,30.0,200.0,10.0,1,0,5,30,0,0,1
843,2.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,1.0,61.0,150.0,30.0,1,0,3,12,358,3,1
846,2.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,0.0,47.0,400.0,15.0,1,10,2,1125,106,71,1
849,0.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,1.0,56.0,250.0,5.0,1,0,3,21,58,0,1
850,1.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,20.0,300.0,12.0,1,0,1,1125,0,3,1
853,2.0,0,0,0,0,0,1,0,0,0,0,0,5,10.0,2.0,65.0,250.0,50.0,2,15,1,1125,329,61,1
876,1.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,1.0,33.0,100.0,20.0,1,12,3,1125,0,10,1
880,1.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,25.0,400.0,25.0,1,30,1,1125,79,26,1
882,1.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,1.0,30.0,200.0,20.0,1,20,1,1125,249,2,1
888,2.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,80.0,100.0,30.0,2,35,2,1125,4,5,1
889,1.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,60.0,200.0,20.0,2,15,2,30,0,19,1
907,0.0,1,0,0,0,0,0,0,0,0,0,0,8,20.0,4.0,352.0,300.0,50.0,1,40,1,10,309,3,1
914,1.0,0,0,0,0,0,0,0,0,1,0,0,2,10.0,1.0,40.0,200.0,20.0,1,15,2,7,333,5,1
919,0.0,0,0,0,0,0,0,0,0,1,0,0,2,10.0,1.0,80.0,150.0,25.0,1,0,2,1125,76,6,1
920,2.0,0,0,0,0,0,0,0,0,1,0,0,2,10.0,1.0,70.0,300.0,35.0,1,25,3,1125,289,53,1
921,0.0,0,0,0,0,0,0,0,0,1,0,0,2,10.0,1.0,75.0,800.0,30.0,1,0,30,1125,249,14,1
923,2.0,0,0,0,0,0,0,0,0,1,0,0,2,10.0,1.0,35.0,100.0,10.0,1,20,3,31,65,0,1
925,0.0,0,0,0,0,0,0,0,0,1,0,0,2,10.0,0.0,50.0,100.0,10.0,2,10,1,4,308,8,1
926,0.0,0,0,0,0,0,0,0,0,1,0,0,2,10.0,1.0,38.0,250.0,40.0,1,0,6,1125,188,1,1
927,1.0,0,0,0,0,0,0,0,0,1,0,0,4,10.0,1.0,60.0,250.0,15.0,2,25,2,10,21,7,1
935,1.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,49.0,200.0,20.0,1,0,2,1125,0,0,1
941,2.0,0,0,0,0,0,0,0,0,0,0,1,2,10.0,1.0,62.0,150.0,15.0,1,0,2,6,29,18,1
