,Neighbourhood,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Bed Type,Price,Guests Included,Extra People,Minimum Nights,Maximum Nights,Availability 365,Number of Reviews,Cancellation Policy
16366,Tempelhof,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,18.0,1,0,1,1125,0,2,flexible
16367,Tempelhof,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,30.0,1,0,2,7,4,4,moderate
16368,Tempelhof,House,Private room,2,2.5,1.0,2.0,Real Bed,35.0,1,0,3,20,337,3,flexible
16369,Tempelhof,Apartment,Entire home/apt,14,4.0,5.0,7.0,Real Bed,325.0,10,19,2,1125,288,28,strict
16371,Neukölln,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,40.0,1,0,1,1125,363,2,flexible
16375,Neukölln,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,27.0,1,10,1,5,62,2,flexible
16377,Neukölln,Apartment,Private room,3,0.5,1.0,2.0,Real Bed,60.0,2,10,2,1125,0,6,moderate
16379,Neukölln,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,60.0,1,30,2,6,90,0,flexible
16380,Neukölln,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,25.0,1,15,1,1125,0,0,flexible
16381,Neukölln,Apartment,Private room,2,1.5,1.0,1.0,Real Bed,30.0,1,0,7,14,0,0,flexible
16383,Neukölln,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,34.0,1,0,3,90,91,182,strict
16384,Neukölln,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,44.0,1,0,2,1125,186,8,flexible
16385,Neukölln,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,50.0,1,0,20,20,365,0,strict
16389,Charlottenburg,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,40.0,1,10,1,6,158,8,flexible
16390,Charlottenburg,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,41.0,1,0,1,14,83,0,flexible
16391,Wilmersdorf,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,30.0,1,0,1,1125,0,0,flexible
16393,Wilmersdorf,Condominium,Private room,1,1.5,1.0,1.0,Real Bed,50.0,1,0,4,1125,324,2,moderate
16395,Wilmersdorf,House,Private room,2,1.0,1.0,2.0,Real Bed,39.0,1,15,1,1125,277,7,moderate
16396,Wilmersdorf,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,85.0,2,15,3,660,142,22,moderate
16397,Wilmersdorf,Apartment,Private room,3,1.0,1.0,1.0,Real Bed,45.0,1,0,1,1125,0,0,flexible
16398,Wilmersdorf,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,36.0,1,0,2,1125,219,0,flexible
16400,Wilmersdorf,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,30.0,1,10,2,1125,5,3,moderate
16401,Wilmersdorf,Loft,Private room,1,1.0,1.0,1.0,Real Bed,26.0,1,0,2,1125,349,9,flexible
16402,Wilmersdorf,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,65.0,1,0,7,22,0,1,flexible
16404,Wilmersdorf,Condominium,Private room,2,2.0,1.0,1.0,Real Bed,25.0,1,0,1,1125,0,1,strict
16405,Wilmersdorf,Apartment,Private room,7,1.0,1.0,4.0,Real Bed,21.0,1,15,1,90,347,37,flexible
16406,Wilmersdorf,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,38.0,1,0,2,1125,346,77,strict
16407,Mitte,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,120.0,4,45,2,1125,260,83,strict
16408,Mitte,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,80.0,1,0,1,2,22,0,flexible
16409,Mitte,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,44.0,1,0,2,14,0,7,moderate
16410,Mitte,Apartment,Entire home/apt,4,2.0,2.0,4.0,Real Bed,79.0,1,0,61,1125,365,21,strict
16413,Mitte,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,89.0,1,0,3,14,18,5,flexible
16414,Mitte,Condominium,Entire home/apt,2,1.0,0.0,2.0,Pull-out Sofa,99.0,2,35,2,1125,133,31,strict
16415,Mitte,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,79.0,2,15,5,1125,183,11,moderate
16416,Mitte,Apartment,Entire home/apt,5,1.0,2.0,2.0,Real Bed,320.0,2,30,3,14,346,54,strict
16417,Mitte,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,85.0,2,15,1,21,0,19,strict
16419,Mitte,Apartment,Entire home/apt,3,1.5,2.0,3.0,Real Bed,85.0,1,0,1,1125,0,1,flexible
16421,Mitte,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,120.0,2,15,5,12,1,16,moderate
16427,Friedrichshain,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,65.0,2,5,30,180,121,39,moderate
16428,Friedrichshain,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,45.0,1,12,2,1125,0,3,moderate
16429,Friedrichshain,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,25.0,1,0,7,1125,0,0,flexible
16430,Friedrichshain,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,93.0,2,17,5,1125,116,7,strict
16431,Friedrichshain,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,50.0,2,10,1,1125,4,38,moderate
