,id,superhost,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,beds,price,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
2690,20775163,f,Miguel Hidalgo,19.43331,-99.17681,Entire rental unit,Entire home/apt,3,1.5,1,850,23,35,0,0,4.74,4.83,4.8,1,1,0
2691,20590954,f,Venustiano Carranza,19.41581,-99.09481,Entire rental unit,Entire home/apt,4,1.0,2,853,352,92,30,3,4.51,4.61,4.38,2,2,0
2692,20073565,t,Cuauhtémoc,19.43406,-99.16958,Entire rental unit,Entire home/apt,4,2.0,2,2152,295,118,17,2,4.9,4.9,4.86,17,17,0
2693,20073627,f,Miguel Hidalgo,19.44165,-99.18224,Entire rental unit,Entire home/apt,4,2.0,2,780,52,32,0,0,4.81,4.81,4.75,1,1,0
2694,20074299,f,Cuauhtémoc,19.43234,-99.16843,Entire place,Entire home/apt,4,1.0,2,1200,328,1,0,0,5.0,5.0,5.0,5,3,2
2695,20781967,t,Iztacalco,19.4015,-99.13672,Entire condo,Entire home/apt,2,1.0,1,430,1,153,25,2,4.94,4.94,4.92,1,1,0
2696,20076273,f,Miguel Hidalgo,19.42958,-99.186,Entire rental unit,Entire home/apt,6,2.5,3,4182,172,69,3,0,4.94,4.96,4.82,4,4,0
2697,20591260,t,Cuauhtémoc,19.42877,-99.17155,Private room in home,Private room,2,1.5,1,650,279,71,34,2,4.94,4.94,4.9,1,0,1
2698,20593714,t,Cuauhtémoc,19.43095,-99.16388,Private room in condo,Private room,2,1.0,1,301,82,116,26,3,4.77,4.84,4.74,36,0,36
2699,20797053,f,Cuauhtémoc,19.41483,-99.16148,Private room in rental unit,Private room,1,1.0,1,1090,9,3,0,0,5.0,5.0,5.0,2,1,1
2700,20799981,f,Miguel Hidalgo,19.43311,-99.21351,Entire rental unit,Entire home/apt,2,1.0,1,2526,365,51,1,0,4.78,4.82,4.71,9,8,1
2701,20800794,f,Cuauhtémoc,19.43794,-99.13972,Entire rental unit,Entire home/apt,8,2.0,3,14997,353,5,0,0,4.6,2.0,4.5,30,29,0
2702,20596886,t,Miguel Hidalgo,19.42914,-99.17842,Entire rental unit,Entire home/apt,4,1.0,2,970,314,50,14,0,4.76,4.82,4.78,1,1,0
2703,20603765,f,Álvaro Obregón,19.35696,-99.19737,Entire guest suite,Entire home/apt,2,1.0,1,900,359,39,2,0,4.77,4.59,4.72,1,1,0
2705,20088237,f,Cuauhtémoc,19.41525,-99.17142,Entire rental unit,Entire home/apt,2,2.0,1,2994,355,33,8,0,4.76,4.88,4.79,2,2,0
2706,20089283,f,La Magdalena Contreras,19.31152,-99.22341,Private room,Private room,2,2.0,2,400,0,17,1,0,4.76,4.71,4.65,1,0,1
2709,20804405,f,Coyoacán,19.35113,-99.14578,Private room in rental unit,Private room,2,1.0,1,373,310,64,21,0,4.94,4.95,4.89,1,0,1
2710,20805063,t,Coyoacán,19.34879,-99.14875,Private room in home,Private room,2,1.0,1,400,357,28,0,0,4.82,4.93,4.78,3,0,3
2711,20090488,t,Benito Juárez,19.393932,-99.170425,Private room in condo,Private room,2,1.0,1,650,89,9,1,0,5.0,5.0,5.0,2,0,2
2712,20605127,t,Cuauhtémoc,19.41145896911621,-99.1651840209961,Entire loft,Entire home/apt,4,1.0,2,1153,341,175,34,5,4.82,4.87,4.85,2,2,0
2713,20810614,t,Benito Juárez,19.38633,-99.18005,Entire rental unit,Entire home/apt,4,1.0,1,550,173,112,17,3,4.93,4.94,4.85,1,1,0
2714,20608961,t,Cuauhtémoc,19.42417,-99.16882,Private room in rental unit,Private room,1,1.0,1,500,365,39,6,0,4.72,4.74,4.85,1,0,1
2715,20617998,f,Coyoacán,19.331976,-99.123016,Entire guest suite,Entire home/apt,2,1.5,1,595,264,23,4,0,4.7,4.78,4.57,1,1,0
2716,20091870,f,Coyoacán,19.31439,-99.1361,Private room in home,Private room,2,1.5,1,295,209,17,0,0,4.94,5.0,5.0,3,0,3
2718,20812329,t,Cuauhtémoc,19.40465,-99.1747,Room in boutique hotel,Private room,2,1.0,1,1147,238,57,4,0,4.98,4.93,4.96,7,0,7
2719,20124116,f,Cuajimalpa de Morelos,19.3681,-99.28093,Entire rental unit,Entire home/apt,3,1.5,1,1000,269,59,1,0,4.78,4.83,4.8,7,7,0
2721,20813581,f,Benito Juárez,19.37863,-99.18142,Private room in rental unit,Private room,1,1.5,1,429,0,104,18,1,4.86,4.88,4.9,1,0,1
2722,20624811,f,Cuauhtémoc,19.41386,-99.16689,Entire condo,Entire home/apt,4,2.0,3,2800,239,79,20,2,4.91,4.97,4.9,1,1,0
2723,20633864,t,Cuauhtémoc,19.41358,-99.17802,Entire loft,Entire home/apt,2,1.0,1,1668,302,280,25,0,4.96,4.96,4.9,5,5,0
2724,20126097,f,Benito Juárez,19.36608,-99.14648,Entire serviced apartment,Entire home/apt,3,1.0,2,660,166,86,16,2,4.84,4.94,4.85,1,1,0
2725,20814739,f,Miguel Hidalgo,19.41886,-99.17896,Private room in rental unit,Private room,1,1.0,1,454,173,61,16,2,4.92,4.95,4.93,1,0,1
2727,20634780,f,Miguel Hidalgo,19.44121,-99.18458,Entire loft,Entire home/apt,3,1.0,1,960,359,167,31,3,4.58,4.77,4.63,16,14,2
2728,20639483,f,Coyoacán,19.31094,-99.11392,Private room in home,Private room,2,1.5,1,600,179,15,2,1,4.93,4.93,4.86,2,0,2
2729,20817742,t,Cuauhtémoc,19.40436,-99.17082,Private room in rental unit,Private room,2,1.0,1,507,349,92,3,3,4.83,4.8,4.85,4,3,1
2730,20147751,f,Benito Juárez,19.36635,-99.16171,Entire condo,Entire home/apt,4,2.0,3,1420,258,92,16,1,4.8,4.83,4.83,1,1,0
2731,20148033,t,Tlalpan,19.29547,-99.12293,Private room in home,Private room,1,3.5,6,260,54,1,0,0,5.0,4.0,4.0,2,0,2
2732,20818493,t,Coyoacán,19.3433,-99.14725,Entire rental unit,Entire home/apt,1,1.0,1,350,301,1,0,0,5.0,5.0,5.0,2,2,0
2733,20152916,f,Coyoacán,19.35468,-99.15278,Private room in rental unit,Private room,2,1.0,2,850,353,35,0,0,4.71,4.77,4.71,3,1,2
2734,20645062,f,Cuajimalpa de Morelos,19.35831,-99.28646,Private room in rental unit,Private room,1,1.5,1,725,365,5,0,0,4.0,5.0,4.4,4,2,2
2735,20833080,f,Benito Juárez,19.40016,-99.16107,Private room in hostel,Private room,1,1.0,1,300,0,1,0,0,4.0,4.0,5.0,1,0,1
2736,20650947,f,Cuauhtémoc,19.42622,-99.16604,Entire serviced apartment,Entire home/apt,2,1.0,1,886,348,336,50,0,4.63,4.75,4.69,17,17,0
2737,20651339,f,Cuauhtémoc,19.42622,-99.16604,Entire serviced apartment,Entire home/apt,2,1.0,1,943,342,202,62,5,4.58,4.61,4.68,17,17,0
2739,20833518,f,Miguel Hidalgo,19.44359,-99.16647,Shared room in rental unit,Shared room,2,1.0,1,300,0,1,0,0,5.0,5.0,5.0,1,0,0
2740,20834956,f,Coyoacán,19.33238,-99.14577,Private room in condo,Private room,1,1.0,1,300,353,13,2,1,5.0,5.0,4.92,2,0,2
2742,20651703,t,Miguel Hidalgo,19.428715,-99.176346,Entire rental unit,Entire home/apt,3,1.0,3,909,169,70,16,0,4.91,4.97,4.93,13,13,0
2743,20652984,f,Cuauhtémoc,19.42622,-99.16604,Entire serviced apartment,Entire home/apt,4,1.0,2,950,0,355,101,9,4.64,4.71,4.72,17,17,0
2745,20653887,t,Álvaro Obregón,19.35332,-99.18125,Private room in guest suite,Private room,2,1.0,1,450,0,112,23,3,4.95,4.96,4.94,1,0,1
2746,20174669,t,Cuauhtémoc,19.41124,-99.16658,Entire rental unit,Entire home/apt,4,2.0,3,3135,61,54,44,4,4.93,5.0,4.83,1,1,0
