superhost,neighbourhood,room_type,accommodates,bathrooms,beds,price,availability_365,number_of_reviews,review_scores_rating,days_rented,revenue
f,Coyoacán,Private room,2,1.0,1,192.0,173,0,0.0,192,36864.0
f,Gustavo A. Madero,Private room,1,1.0,1,464.0,365,1,5.0,0,0.0
t,Cuauhtémoc,Entire home/apt,2,1.0,1,578.0,0,212,4.77,365,210970.0
f,Miguel Hidalgo,Entire home/apt,3,2.0,2,2034.0,307,1,5.0,58,117972.0
f,Cuauhtémoc,Private room,1,4.0,1,319.0,161,10,4.4,204,65076.0
f,Benito Juárez,Entire home/apt,1,1.0,1,1190.0,65,22,4.82,300,357000.0
f,Cuauhtémoc,Entire home/apt,4,2.0,2,1188.0,365,0,0.0,0,0.0
f,Miguel Hidalgo,Private room,1,1.0,1,1000.0,363,0,0.0,2,2000.0
f,Cuauhtémoc,Entire home/apt,4,2.5,2,1324.0,179,74,4.93,186,246264.0
t,Álvaro Obregón,Private room,2,1.0,1,421.0,26,17,5.0,339,142719.0
f,Cuauhtémoc,Shared room,1,1.0,1,200.0,364,0,0.0,1,200.0
f,Cuauhtémoc,Entire home/apt,2,1.0,1,477.0,1,482,4.48,364,173628.0
t,Benito Juárez,Entire home/apt,4,1.0,2,927.0,0,410,4.81,365,338355.0
t,Cuauhtémoc,Entire home/apt,3,1.0,2,1800.0,0,209,4.89,365,657000.0
f,Benito Juárez,Entire home/apt,3,1.0,1,820.0,360,66,4.62,5,4100.0
t,Cuauhtémoc,Entire home/apt,8,2.0,4,5485.0,59,291,4.9,306,1678410.0
t,Cuauhtémoc,Entire home/apt,4,2.0,2,1443.0,310,47,5.0,55,79365.0
f,Cuauhtémoc,Entire home/apt,4,2.0,3,3000.0,365,4,5.0,0,0.0
f,Cuauhtémoc,Entire home/apt,2,1.0,1,832.0,169,111,4.86,196,163072.0
t,Cuauhtémoc,Entire home/apt,3,1.0,2,1423.0,294,125,4.98,71,101033.0
t,Miguel Hidalgo,Entire home/apt,6,1.0,3,890.0,156,352,4.64,209,186010.0
f,Miguel Hidalgo,Entire home/apt,2,2.0,2,883.0,339,58,4.72,26,22958.0
f,Tlalpan,Private room,2,1.0,1,600.0,0,0,0.0,365,219000.0
t,Cuauhtémoc,Private room,2,1.0,1,4100.0,259,100,4.88,106,434600.0
t,Benito Juárez,Entire home/apt,8,1.5,5,1990.0,178,76,4.89,187,372130.0
f,Cuauhtémoc,Private room,1,1.0,1,339.0,0,0,0.0,365,123735.0
t,Miguel Hidalgo,Entire home/apt,2,1.0,1,764.0,265,229,4.98,100,76400.0
f,Álvaro Obregón,Private room,2,1.5,1,594.0,301,36,4.97,64,38016.0
f,Cuauhtémoc,Private room,1,1.0,1,543.0,313,17,4.82,52,28236.0
t,Miguel Hidalgo,Entire home/apt,2,1.0,1,662.0,365,240,4.69,0,0.0
f,Miguel Hidalgo,Entire home/apt,2,1.0,1,704.0,28,0,0.0,337,237248.0
t,Cuauhtémoc,Entire home/apt,4,1.0,3,1140.0,320,338,4.8,45,51300.0
f,Coyoacán,Private room,2,1.0,1,1200.0,346,71,4.97,19,22800.0
f,Cuauhtémoc,Private room,2,1.0,1,594.0,365,14,4.57,0,0.0
f,Cuauhtémoc,Entire home/apt,5,1.5,3,687.0,327,88,4.84,38,26106.0
t,Miguel Hidalgo,Private room,1,2.0,1,700.0,355,56,4.95,10,7000.0
f,Cuauhtémoc,Entire home/apt,4,1.0,2,594.0,321,54,4.48,44,26136.0
f,Benito Juárez,Private room,2,1.0,1,582.0,364,6,4.5,1,582.0
t,Coyoacán,Entire home/apt,2,1.0,1,985.0,357,214,4.89,8,7880.0
t,Cuauhtémoc,Entire home/apt,4,1.0,2,930.0,310,147,4.88,55,51150.0
f,Álvaro Obregón,Private room,2,1.0,1,350.0,1,88,4.75,364,127400.0
t,Cuauhtémoc,Private room,2,1.0,1,3250.0,253,16,4.81,112,364000.0
f,Coyoacán,Entire home/apt,4,1.0,3,644.0,136,192,4.77,229,147476.0
f,Gustavo A. Madero,Private room,1,1.0,1,464.0,364,5,4.6,1,464.0
f,Tlalpan,Private room,2,1.0,1,214593.0,293,30,4.9,72,15450696.0
f,Cuauhtémoc,Entire home/apt,2,1.0,1,1324.0,357,21,4.9,8,10592.0
f,Cuauhtémoc,Entire home/apt,5,2.0,3,2452.0,335,152,4.78,30,73560.0
f,Cuauhtémoc,Private room,2,1.0,1,550.0,344,31,4.74,21,11550.0
